id,season,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match
356,2013,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,1,DJ Bravo
357,2013,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,Lucknow Super Giants,35,0,PP Chawla
358,2013,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,0,6,PP Chawla
359,2013,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0,9,SL Malinga
360,2013,Wankhede,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Mumbai Indians,3,0,AT Rayudu
361,2013,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,Kolkata Knight Riders,42,0,MS Dhoni
362,2013,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,2,PP Chawla
363,2013,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,56,0,SK Raina
364,2013,Narendra,Narendra Modi Stadium,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,49,0,MS Dhoni
365,2013,Wankhede,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,24,0,YS Chahal
366,2013,MA,MA Chidambaram Stadium,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,Lucknow Super Giants,31,0,SK Raina
367,2013,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,32,0,SR Watson
368,2013,MA,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,0,3,M Shami
369,2013,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,0,4,DA Warner
370,2013,Wankhede,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,Mumbai Indians,10,0,M Shami
371,2013,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,44,0,S Dhawan
372,2013,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,4,B Kumar
373,2013,BRSABV,BRSABV Ekana Cricket Stadium,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,Lucknow Super Giants,0,4,G Gambhir
374,2013,Narendra,Narendra Modi Stadium,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,bat,Lucknow Super Giants,0,1,RR Pant
375,2013,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Punjab Kings,Punjab Kings,bat,Lucknow Super Giants,22,0,SL Malinga
376,2013,Arun,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Chennai Super Kings,0,2,AM Rahane
377,2013,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,0,8,KL Rahul
378,2013,Arun,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,11,0,DJ Bravo
379,2013,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,9,SL Malinga
380,2013,MA,MA Chidambaram Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,65,0,DJ Bravo
381,2013,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Royal Challengers Bangalore,17,0,DA Warner
382,2013,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,0,6,G Gambhir
383,2014,Narendra,Narendra Modi Stadium,Rajasthan Royals,Gujarat Titans,Gujarat Titans,bat,Gujarat Titans,0,1,S Dhawan
384,2014,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,37,0,SR Watson
385,2014,Punjab,Punjab Cricket Association Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Rajasthan Royals,0,7,RG Sharma
386,2014,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,0,5,AT Rayudu
387,2014,BRSABV,BRSABV Ekana Cricket Stadium,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,30,0,R Ashwin
388,2014,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,25,0,SP Narine
389,2014,Punjab,Punjab Cricket Association Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Punjab Kings,9,0,MS Dhoni
390,2014,Narendra,Narendra Modi Stadium,Gujarat Titans,Mumbai Indians,Gujarat Titans,bat,Gujarat Titans,8,0,KA Pollard
391,2014,Wankhede,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Mumbai Indians,0,9,JJ Bumrah
392,2014,Eden,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,0,3,AM Rahane
393,2014,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0,1,Rashid Khan
394,2014,Eden,Eden Gardens,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,9,SL Malinga
395,2014,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Royal Challengers Bangalore,0,5,Rashid Khan
396,2014,Punjab,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,Sunrisers Hyderabad,0,9,V Kohli
397,2014,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,field,Gujarat Titans,62,0,SR Watson
398,2014,Arun,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,0,4,M Shami
399,2014,Sawai,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,64,0,S Dhawan
400,2014,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,field,Rajasthan Royals,44,0,JJ Bumrah
401,2014,Narendra,Narendra Modi Stadium,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,38,0,MS Dhoni
402,2014,Arun,Arun Jaitley Stadium,Delhi Capitals,Gujarat Titans,Delhi Capitals,field,Gujarat Titans,0,2,KL Rahul
403,2014,Sawai,Sawai Mansingh Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Delhi Capitals,0,8,RG Sharma
404,2014,MA,MA Chidambaram Stadium,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,49,0,RG Sharma
405,2014,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,bat,Royal Challengers Bangalore,0,3,DJ Bravo
406,2014,Punjab,Punjab Cricket Association Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Punjab Kings,41,0,KA Pollard
407,2014,Arun,Arun Jaitley Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,63,0,A Mishra
408,2014,BRSABV,BRSABV Ekana Cricket Stadium,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Rajasthan Royals,0,7,Harbhajan Singh
409,2014,Eden,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad,3,0,KL Rahul
410,2014,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,3,RR Pant
411,2014,Punjab,Punjab Cricket Association Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,44,0,DJ Bravo
412,2014,M,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,17,0,PP Chawla
413,2014,Narendra,Narendra Modi Stadium,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,49,0,A Mishra
414,2014,Wankhede,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,54,0,AB de Villiers
415,2014,Arun,Arun Jaitley Stadium,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,2,0,JJ Bumrah
416,2014,Narendra,Narendra Modi Stadium,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,Chennai Super Kings,54,0,RR Pant
417,2014,BRSABV,BRSABV Ekana Cricket Stadium,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,field,Chennai Super Kings,34,0,B Kumar
418,2014,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,0,4,KL Rahul
419,2014,Wankhede,Wankhede Stadium,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,Lucknow Super Giants,0,3,R Ashwin
420,2014,MA,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Chennai Super Kings,0,5,AB de Villiers
421,2014,Wankhede,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0,7,Rashid Khan
422,2014,Wankhede,Wankhede Stadium,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,Mumbai Indians,43,0,A Mishra
423,2014,MA,MA Chidambaram Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,15,0,KA Pollard
424,2014,Sawai,Sawai Mansingh Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Rajasthan Royals,15,0,Rashid Khan
425,2014,MA,MA Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,0,8,DJ Bravo
426,2014,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,2,RG Sharma
427,2014,Arun,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,44,0,JJ Bumrah
428,2014,Punjab,Punjab Cricket Association Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Punjab Kings,0,3,YS Chahal
429,2014,Narendra,Narendra Modi Stadium,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,10,0,KL Rahul
430,2014,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,0,7,KA Pollard
431,2014,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,0,6,R Ashwin
432,2014,MA,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Mumbai Indians,12,0,YS Chahal
433,2014,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,59,0,B Kumar
434,2014,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,1,0,SP Narine
435,2014,Narendra,Narendra Modi Stadium,Delhi Capitals,Gujarat Titans,Gujarat Titans,bat,Gujarat Titans,22,0,SP Narine
436,2014,MA,MA Chidambaram Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,16,0,KA Pollard
437,2014,Eden,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,76,0,KA Pollard
438,2014,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,field,Gujarat Titans,68,0,SP Narine
439,2014,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,field,Punjab Kings,17,0,JJ Bumrah
440,2014,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,36,0,RR Pant
441,2014,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Punjab Kings,0,9,CH Gayle
442,2014,Arun,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,23,0,DJ Bravo
443,2014,Narendra,Narendra Modi Stadium,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Sunrisers Hyderabad,0,9,HH Pandya
444,2014,Wankhede,Wankhede Stadium,Mumbai Indians,Gujarat Titans,Mumbai Indians,bat,Mumbai Indians,7,0,SR Watson
445,2014,Arun,Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,38,0,AM Rahane
446,2014,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0,4,G Gambhir
447,2014,BRSABV,BRSABV Ekana Cricket Stadium,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,bat,Lucknow Super Giants,2,0,A Mishra
448,2014,Eden,Eden Gardens,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,25,0,SK Raina
449,2014,MA,MA Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,49,0,SR Watson
450,2014,Narendra,Narendra Modi Stadium,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,0,1,B Kumar
451,2014,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,79,0,HH Pandya
452,2014,Narendra,Narendra Modi Stadium,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,bat,Lucknow Super Giants,0,9,DJ Bravo
453,2014,MA,MA Chidambaram Stadium,Chennai Super Kings,Gujarat Titans,Gujarat Titans,bat,Chennai Super Kings,0,2,M Shami
454,2014,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders,80,0,AB de Villiers
455,2015,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Kolkata Knight Riders,0,7,SR Watson
456,2015,Narendra,Narendra Modi Stadium,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,9,RG Sharma
457,2015,Eden,Eden Gardens,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,22,0,CH Gayle
458,2015,Eden,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,2,KA Pollard
459,2015,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,33,0,SR Watson
460,2015,BRSABV,BRSABV Ekana Cricket Stadium,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,field,Rajasthan Royals,0,6,JJ Bumrah
461,2015,MA,MA Chidambaram Stadium,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,Chennai Super Kings,75,0,AM Rahane
462,2015,MA,MA Chidambaram Stadium,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,2,G Gambhir
463,2015,Wankhede,Wankhede Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,18,0,YS Chahal
464,2015,Arun,Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,71,0,RG Sharma
465,2015,Wankhede,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Mumbai Indians,0,4,SK Raina
466,2015,Eden,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,73,0,YS Chahal
467,2015,MA,MA Chidambaram Stadium,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Chennai Super Kings,0,2,AT Rayudu
468,2015,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,25,0,KA Pollard
469,2015,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,0,6,V Kohli
470,2015,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,5,JJ Bumrah
471,2015,Punjab,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,8,YS Chahal
472,2015,MA,MA Chidambaram Stadium,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,Chennai Super Kings,69,0,R Ashwin
473,2015,MA,MA Chidambaram Stadium,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,bat,Lucknow Super Giants,75,0,RG Sharma
474,2015,Arun,Arun Jaitley Stadium,Gujarat Titans,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,47,0,M Shami
475,2015,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,51,0,JJ Bumrah
476,2015,Eden,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,73,0,AM Rahane
477,2015,Eden,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,0,6,JJ Bumrah
478,2015,Narendra,Narendra Modi Stadium,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,field,Kolkata Knight Riders,0,1,AB de Villiers
479,2015,Arun,Arun Jaitley Stadium,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,49,0,PP Chawla
480,2015,Narendra,Narendra Modi Stadium,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,67,0,SP Narine
481,2015,Punjab,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Punjab Kings,65,0,SK Raina
482,2015,MA,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Kolkata Knight Riders,21,0,JJ Bumrah
483,2015,Sawai,Sawai Mansingh Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,0,8,PP Chawla
484,2015,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,74,0,YS Chahal
485,2015,Narendra,Narendra Modi Stadium,Gujarat Titans,Mumbai Indians,Mumbai Indians,bat,Gujarat Titans,0,3,M Shami
486,2015,Arun,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,0,8,SP Narine
487,2015,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,3,A Mishra
488,2015,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,bat,Chennai Super Kings,14,0,DJ Bravo
489,2015,Narendra,Narendra Modi Stadium,Gujarat Titans,Rajasthan Royals,Gujarat Titans,bat,Rajasthan Royals,61,0,DA Warner
490,2015,Punjab,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9,Rashid Khan
491,2015,Narendra,Narendra Modi Stadium,Mumbai Indians,Gujarat Titans,Gujarat Titans,bat,Mumbai Indians,0,7,S Dhawan
492,2015,Arun,Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,37,0,CH Gayle
493,2015,Wankhede,Wankhede Stadium,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,Mumbai Indians,0,4,AM Rahane
494,2015,M,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5,A Mishra
495,2015,Arun,Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,0,3,SR Watson
496,2015,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,30,0,AB de Villiers
497,2015,Narendra,Narendra Modi Stadium,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,Gujarat Titans,21,0,HH Pandya
498,2015,M,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,0,2,KL Rahul
499,2015,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0,9,DJ Bravo
500,2015,Punjab,Punjab Cricket Association Stadium,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0,4,A Mishra
501,2015,Wankhede,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,21,0,DJ Bravo
502,2015,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Rajasthan Royals,67,0,DA Warner
503,2015,Arun,Arun Jaitley Stadium,Gujarat Titans,Delhi Capitals,Gujarat Titans,field,Delhi Capitals,0,4,G Gambhir
504,2015,Wankhede,Wankhede Stadium,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,field,Lucknow Super Giants,72,0,AT Rayudu
505,2015,Narendra,Narendra Modi Stadium,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,0,8,DJ Bravo
506,2015,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,62,0,DA Warner
507,2015,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,0,6,KL Rahul
508,2015,MA,MA Chidambaram Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Chennai Super Kings,0,2,AT Rayudu
509,2015,Eden,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,64,0,R Ashwin
510,2015,Eden,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,Kolkata Knight Riders,80,0,DJ Bravo
511,2015,MA,MA Chidambaram Stadium,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,field,Chennai Super Kings,0,1,AM Rahane
512,2015,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,field,Sunrisers Hyderabad,0,8,G Gambhir
513,2015,Eden,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,0,8,G Gambhir
514,2015,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Punjab Kings,0,6,JJ Bumrah
515,2015,Eden,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,0,3,SR Watson
516,2015,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Punjab Kings,0,4,AM Rahane
517,2015,Arun,Arun Jaitley Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Rajasthan Royals,74,0,R Ashwin
518,2015,Eden,Eden Gardens,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,19,0,HH Pandya
519,2015,M,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,0,8,Harbhajan Singh
520,2015,Wankhede,Wankhede Stadium,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,field,Lucknow Super Giants,8,0,SL Malinga
521,2016,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Punjab Kings,0,6,AB de Villiers
522,2016,Rajiv,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,DJ Bravo
523,2016,MA,MA Chidambaram Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Chennai Super Kings,0,3,S Dhawan
524,2016,BRSABV,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,Lucknow Super Giants,0,4,YS Chahal
525,2016,BRSABV,BRSABV Ekana Cricket Stadium,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Delhi Capitals,0,6,SK Raina
526,2016,M,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,0,2,G Gambhir
527,2016,MA,MA Chidambaram Stadium,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,bat,Lucknow Super Giants,0,9,DJ Bravo
528,2016,Sawai,Sawai Mansingh Stadium,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Rajasthan Royals,11,0,KL Rahul
529,2016,Arun,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Delhi Capitals,68,0,RG Sharma
